scholar_id,scholar_full_name,email,year_level,missing_cog_count
87,"Soliman, Harry Candice",hcs2877@gmail.com,3,1
89,"Dumaual, Jervis Melanie",jmd6476@gmail.com,3,2
90,"Dangtayan, Emily Gemma",egd3450@gmail.com,3,2
91,"Sumabat, Domingo",ds5608@gmail.com,3,1
92,"Tumbaga, Ambrosio",at3959@gmail.com,2,1
93,"Bagay, Mark Romualdo",mrb6595@gmail.com,2,1
94,"Alitagtag, George Georgia",gga2811@gmail.com,2,1
95,"Yagyagan, Beverly",by7940@gmail.com,2,1
97,"Agcamaran, Kyle Clarissa",kca7862@gmail.com,3,1
99,"Napalan, Socorro Janeth",sjn5324@gmail.com,2,1
101,"Dimaporo, Marvin Florentino",mfd2803@gmail.com,4,1
102,"Macalisang, Victor",vm2625@gmail.com,3,2
107,"Casao, Mario",mc6065@gmail.com,4,3
108,"Unabia, Angel Daphne",adu1940@gmail.com,4,3
109,"Manankil, Lilia Joan",ljm3611@gmail.com,3,1
111,"Saupan, Osmundo",os8565@gmail.com,2,1
114,"Agdinaoay, Alan Venancio",ava3044@gmail.com,3,1
115,"Cambay, Priscilla",pc2571@gmail.com,2,1
117,"Mactal, Paquito Kyle",pkm3786@gmail.com,3,1
118,"Mangubat, Leonardo",lm4342@gmail.com,3,1
119,"Macahilig, Kulas Victoria",kvm4211@gmail.com,2,1
122,"Paculan, Jessie Josefa",jjp2405@gmail.com,4,2
124,"Saguisag, Eloisa",es1672@gmail.com,3,2
125,"Hinagpis, Ruby",rh7199@gmail.com,4,2
127,"Manglona, Nadine",nm6666@gmail.com,3,2
128,"Matito, Malou Gabrielle",mgm7079@gmail.com,3,2
129,"Impoc, Tanya",ti1199@gmail.com,4,2
131,"Ayuyao, Clarissa",ca6518@gmail.com,4,1
135,"Bayoy, Frederick Ricky",frb9190@gmail.com,2,1
136,"Catubig, Teban",tc6139@gmail.com,3,2
139,"Calangan, Erning",ec8834@gmail.com,2,1
142,"Cabalatongan, Carol Anastasio",cac8156@gmail.com,4,1
145,"Bangayan, Hillary",hb8972@gmail.com,3,2
146,"Tomawis, Gladys Ronaldo",grt1320@gmail.com,2,1
147,"Jayan, Roland",rj8403@gmail.com,4,1
153,"Pagulayan, Gilberto Genevieve",ggp1915@gmail.com,4,3
154,"Poquis, Patricio Aurelia",pap9044@gmail.com,4,3
155,"Macuha, David",dm9533@gmail.com,3,1
157,"Liclican, Ernie Henry",ehl8658@gmail.com,4,1
158,"Madlangawa, Jeremy",jm4942@gmail.com,4,2
159,"Caylao, Jericho",jc7674@gmail.com,2,1
163,"Punsoy, Douglas Evangelina",dep6366@gmail.com,4,2
167,"Bocalig, Dante Daryl",ddb6212@gmail.com,3,2
168,"Magsumbol, Danica Fe",dfm9096@gmail.com,4,3
169,"Salabsab, Kristine",ks7062@gmail.com,4,2
170,"Maniulit, Adelaida Juana",ajm4701@gmail.com,2,1
172,"Una, Lilian",lu6680@gmail.com,3,2
174,"Supnet, Arvin Gemma",ags7610@gmail.com,3,2
175,"Batongbacal, Gilbert Luisa",glb2202@gmail.com,4,1
177,"Icat, Tadeo",ti2048@gmail.com,2,1
182,"Balata, Rhea",rb5968@gmail.com,3,1
183,"Imbo, Alvin",ai7174@gmail.com,4,3
184,"Orara, Magdalena",mo7484@gmail.com,4,1
188,"Nepomuceno, Erin Alejandra",ean4757@gmail.com,4,2
197,"Alunan, Flavio",fa2706@gmail.com,4,2
209,"Panlaqui, Ricky Marilyn",rmp7369@gmail.com,3,2
210,"Gungab, Linda",lg2628@gmail.com,2,1
216,"Cacdac, Andoy",ac3269@gmail.com,3,2
218,"Parotong, Gustavo",gp8340@gmail.com,4,2
219,"Ablang, Marta",ma7513@gmail.com,4,2
220,"Lakian, Migz",ml2270@gmail.com,3,1
222,"Baluyot, Roger",rb2279@gmail.com,2,1
232,"Godoy, Nelson Alicia",nag8711@gmail.com,2,1
233,"Bacunawa, Mauricio",mb3709@gmail.com,4,1
234,"Gacusan, Marcial Rebecca",mrg5984@gmail.com,4,3
235,"Bagasao, Fruto",fb6560@gmail.com,4,2
238,"Caliw-caliw, Sandy Pedring",spc5272@gmail.com,3,2
240,"Magsombol, Leonor Cecilio",lcm3643@gmail.com,3,2
241,"Iyog, Joshua Jacqueline",jji3966@gmail.com,4,3
242,"Matulin, Ramil Crystal",rcm1195@gmail.com,4,2
244,"Adlawan, Flordeliza",fa6126@gmail.com,4,3
250,"Visaya, Leticia Archie",lav7874@gmail.com,2,1
253,"Calilung, Magdalena",mc9750@gmail.com,3,2
254,"Mabunga, Carlos Marcelina",cmm8270@gmail.com,4,2
255,"Cabasug, Tiyago",tc3106@gmail.com,3,2
257,"Magpatoc, George Rosita",grm9172@gmail.com,2,1
258,"Bondoc, Gwendolyn Beatriz",gbb4075@gmail.com,2,1
259,"Oasay, Carol Darren",cdo3758@gmail.com,3,1
260,"Banaria, Paula Carol",pcb7287@gmail.com,2,1
261,"Balot, Lucho Ellen",leb2162@gmail.com,2,1
262,"Quilala, Darla",dq6469@gmail.com,4,1
266,"Amit, Marta",ma2157@gmail.com,4,1
267,"Caylo, Yolanda Alyssa",yac4546@gmail.com,3,2
268,"Cayongcong, Faustina",fc2068@gmail.com,4,2
269,"Maglalang, Emily Tessa",etm8682@gmail.com,4,2
270,"Tabilin, Pedro Evangeline",pet3281@gmail.com,4,3
272,"Caranguian, Jeffrey Victoriano",jvc2360@gmail.com,2,1
273,"Sabile, Jerome David",jds1186@gmail.com,4,2
275,"Rabara, Sabrina",sr5555@gmail.com,3,1
279,"Binotapa, Regina Ian",rib8352@gmail.com,2,1
283,"Putong, Daphne Victor",dvp2862@gmail.com,4,1
284,"Lalangan, Melvin Ciara",mcl4483@gmail.com,3,2
286,"Bangit, Gil Francine",gfb1946@gmail.com,4,3
289,"Balanon, Lilliane",lb6217@gmail.com,2,1
291,"Pagtakhan, Marianne Catalina",mcp8694@gmail.com,4,1
296,"Jabol, Amado Gabriela",agj7341@gmail.com,2,1
298,"Abut, Isidra Arlene",iaa6301@gmail.com,2,1
301,"Jalosjos, Analiza",aj5912@gmail.com,3,2
303,"Tabian, Tyron",tt5063@gmail.com,4,2
306,"Malaluan, Jeremy Carol",jcm5282@gmail.com,3,1
307,"Daco, Nadine Leila",nld2969@gmail.com,4,2
308,"Gulay, Janice Renzo",jrg8245@gmail.com,4,3
309,"Pacada, Lourdes Restituto",lrp2108@gmail.com,3,1
310,"Puyot, Amado Victor",avp7016@gmail.com,3,2
312,"Calilung, Gabriel",gc4335@gmail.com,3,2
313,"Maturan, Laura Ernie",lem7292@gmail.com,4,2
315,"Magpale, Tadeo Julio",tjm8750@gmail.com,3,2
318,"Balangue, Miguel",mb6760@gmail.com,4,3
319,"Pandaraoan, Coleen Laquisha",clp7599@gmail.com,4,1
320,"Deen, Morris",md9476@gmail.com,4,2
323,"Kaimo, Leticia",lk3141@gmail.com,4,1
325,"Mangampat, Fiona",fm8414@gmail.com,4,3
328,"Dimalanta, Maxine",md7371@gmail.com,3,1
330,"Tagle, Myrna Syano",mst7291@gmail.com,2,1
332,"Malapit, Jesusa",jm1836@gmail.com,2,1
333,"Bacani, Leilani",lb6063@gmail.com,3,1
334,"Padios, Arsenia Boris",abp9681@gmail.com,4,2
335,"Macatangay, Thomas",tm9404@gmail.com,3,2
336,"Tapuro, Leonida Laquisha",llt3792@gmail.com,2,1
337,"Pasamba, Fely",fp5647@gmail.com,4,2
340,"Pagsanjan, Cathleen Margarita",cmp1861@gmail.com,3,2
343,"Luzon, Evangelina",el7879@gmail.com,2,1
344,"Navalta, Angelito Sheryl",asn8079@gmail.com,2,1
347,"Dacalcap, Jocelyn Gregorio",jgd2342@gmail.com,4,3
348,"Aromin, Manolo Anita",maa9124@gmail.com,4,3
350,"Atangan, Princess",pa1161@gmail.com,4,3
352,"Jamorabon, Elise",ej2042@gmail.com,2,1
353,"Tulud, Melody",mt6934@gmail.com,3,2
356,"Agcamaran, Getulio Nenita",gna3510@gmail.com,2,1
358,"Mangabang, Nicolasa Marcus",nmm3755@gmail.com,4,2
361,"Laxa, Pepito",pl5407@gmail.com,2,1
364,"Manegdeg, Ignacio",im6204@gmail.com,3,1
366,"Patalinhug, Glenda",gp4259@gmail.com,3,2
368,"Abao, Marina Cleo",mca1187@gmail.com,2,1
369,"Pinga, Sophia",sp3305@gmail.com,3,2
371,"Lagos, Tonyo Karla",tkl9573@gmail.com,3,1
374,"Ayran, Sheila",sa5355@gmail.com,3,1
375,"Katalbas, Nelson Fernando",nfk9757@gmail.com,4,2
376,"Ampong, Rose",ra7917@gmail.com,4,2
377,"Mabilangan, Yolanda",ym1269@gmail.com,2,1
378,"Daguhay, Melvin Francis",mfd6046@gmail.com,4,3
380,"Dalogdog, Romualdo Manolo",rmd3022@gmail.com,2,1
381,"Gampon, Jocelyn Lorenzo",jlg3110@gmail.com,4,1
383,"Buntua, Joseph Franco",jfb6193@gmail.com,4,3
384,"Bugtong, Keziah Lester",klb1373@gmail.com,2,1
385,"Balani, Amanda Valerie",avb3764@gmail.com,4,1
386,"Subaybay, Norberto",ns5709@gmail.com,4,3
390,"Nakpil, Douglas Magda",dmn8370@gmail.com,3,1
395,"Tayabas, Romeo Rosa",rrt8553@gmail.com,2,1
397,"Sagayaga, Edward Pascual",eps6812@gmail.com,4,1
398,"Caabay, Johanne Daryl",jdc9135@gmail.com,2,1
399,"Tumaneng, Dustin",dt5151@gmail.com,4,2
402,"Inclan, Miguel",mi7383@gmail.com,3,1
403,"Maharais, Paula",pm5085@gmail.com,4,1
404,"Quililan, Raphaela",rq6611@gmail.com,3,2
405,"Caparas, Roxanne",rc9130@gmail.com,4,2
406,"Dampog, Teodora Chantal",tcd3873@gmail.com,4,3
408,"Cabebe, Melvin Edna",mec9058@gmail.com,4,2
409,"Padayao, Baldomero",bp8936@gmail.com,4,3
410,"Napuli, Glenda",gn9818@gmail.com,3,2
411,"Cabili, Lorena",lc3542@gmail.com,3,1
415,"Tupaz, Matthew Clarita",mct4504@gmail.com,3,1
419,"Andaya, Raymundo Mylene",rma1368@gmail.com,3,1
420,"Dauz, Sabrina Jocelyn",sjd9405@gmail.com,4,3
422,"Bagsit, Alberto Antoinette",aab5375@gmail.com,3,2
425,"Pendatum, Pekto",pp3262@gmail.com,3,2
429,"Calupitan, Sheila",sc9976@gmail.com,4,1
430,"Makadaig, Marilyn",mm3272@gmail.com,2,1
432,"Manotok, Ruby Ulrich",rum8844@gmail.com,2,1
433,"Palongpalong, Jocelyn Alexis",jap7614@gmail.com,4,1
435,"Marikit, Malou Claudio",mcm9627@gmail.com,2,1
439,"Mandilag, Eleanor Criselda",ecm5398@gmail.com,4,3
440,"Cuyugan, Cedric Flavio",cfc9597@gmail.com,2,1
443,"Biagan, Andrew Leonila",alb7894@gmail.com,4,3
444,"Tugade, Apolonio",at1199@gmail.com,4,3
446,"Mabini, Arielle",am1198@gmail.com,2,1
447,"Baitan, Ederlinda",eb8284@gmail.com,4,3
449,"Paat, Kim",kp3725@gmail.com,4,3
450,"Cabe, Tonisito Edison",tec6958@gmail.com,4,3
452,"Salop, Renante",rs7034@gmail.com,3,2
457,"Tongpalan, Anne Hermogenes",aht8393@gmail.com,2,1
459,"Pagdanganan, Umberto Kim",ukp4124@gmail.com,2,1
461,"Bulusan, Rafraf",rb6609@gmail.com,2,1
462,"Magadap, Jovito Justin",jjm3447@gmail.com,3,2
470,"Galasinao, Evangeline",eg8493@gmail.com,2,1
471,"Inclan, Rhian Allison",rai3196@gmail.com,4,2
473,"Abat, Socorro Raymundo",sra9734@gmail.com,3,2
476,"Makiling, Pamela Justine",pjm7401@gmail.com,2,1
479,"Paguirigan, Eric",ep1247@gmail.com,3,1
480,"Muyot, Pepito",pm7316@gmail.com,2,1
483,"Sakay, Tiffany Hermogenes",ths6793@gmail.com,3,1
484,"Godoy, Paula Jomari",pjg8283@gmail.com,4,1
488,"Catubo, Cornelio Cipriano",ccc1517@gmail.com,2,1
493,"Unabia, Esther",eu3118@gmail.com,2,1
496,"Kalalo, Cecilio",ck4973@gmail.com,4,1
503,"Cagaanan, Monching",mc6345@gmail.com,2,1
504,"Lumontad, Philip Daniel",pdl1837@gmail.com,2,1
509,"Pantig, Naomi Anne",nap3017@gmail.com,3,1
512,"Tuktukan, Jacinta Hilario",jht4026@gmail.com,4,2
518,"Dumalag, Mark",md3594@gmail.com,2,1
519,"Bacolor, Eloisa Eleazar",eeb2996@gmail.com,3,1
521,"Pagdanganan, Calixto",cp2210@gmail.com,4,3
525,"Ragamat, Josephine",jr3011@gmail.com,4,2
526,"Balanga, Austin Heidi",ahb3254@gmail.com,4,3
527,"Payaoan, Clinton",cp9859@gmail.com,3,2
529,"Macatanban, Benedicto Carl",bcm2599@gmail.com,2,1
530,"Marayag, Vivian Rosie",vrm7743@gmail.com,3,1
531,"Nuguid, Mateo",mn2367@gmail.com,4,3
532,"Biglang-awa, Lucho",lb1294@gmail.com,4,1
534,"Talagtag, Bob Benjie",bbt3705@gmail.com,4,1
536,"Bigayan, Goryo Randy",grb4129@gmail.com,4,3
538,"Puldulao, Ernesto Paul",epp2073@gmail.com,3,2
539,"Lagdameo, Nenita",nl9352@gmail.com,4,1
540,"Taghap, Donna",dt1195@gmail.com,2,1
541,"Tabangcura, Billy",bt3035@gmail.com,4,3
542,"Saupan, Tyron Elena",tes3480@gmail.com,2,1
543,"Dalaque, Luis Jacqueline",ljd3210@gmail.com,3,1
544,"Pambid, Macario Jessie",mjp4162@gmail.com,2,1
545,"Mabalot, Linda",lm7605@gmail.com,2,1
549,"Abueg, Louise Leonardo",lla7309@gmail.com,3,2
550,"Mariquit, Edilberto",em8214@gmail.com,3,1
551,"Babasa, Oliver Fernan",ofb6055@gmail.com,2,1
552,"Sagisi, Cresencia",cs6432@gmail.com,3,2
553,"Sugay, Lawrence Zacarias",lzs1062@gmail.com,2,1
554,"Damaolao, Criselda",cd1126@gmail.com,4,3
555,"Buhayin, Emelita Eliseo",eeb1990@gmail.com,2,1
563,"Macatuno, Anton Ronald",arm6357@gmail.com,2,1
564,"Calinao, Kenan",kc4693@gmail.com,4,2
565,"Lumahan, Remedios",rl7318@gmail.com,2,1
571,"Ridao, Veronica Fabio",vfr4763@gmail.com,4,3
574,"Palabay, Boris",bp2773@gmail.com,3,2
575,"Payoyot, Andoy Edmund",aep2642@gmail.com,4,1
578,"Labao, Richard Juanita",rjl1904@gmail.com,2,1
580,"Paurom, Eugene Ingrid",eip3284@gmail.com,2,1
582,"Bagala, Godofredo Dennis",gdb1448@gmail.com,4,3
583,"Casama, Francine",fc6278@gmail.com,3,2
585,"Mangayo, Richard Dante",rdm6205@gmail.com,3,2
587,"Casama, Luisa",lc8114@gmail.com,3,1
588,"Conol, Criselda Rosalinda",crc5214@gmail.com,3,1
589,"Atay, Jomari",ja7174@gmail.com,3,2
591,"Dumondon, Karla Alfonso",kad7766@gmail.com,4,2
592,"Lansigan, Raymundo Dulce",rdl6753@gmail.com,4,1
593,"Paa, Petra",pp4890@gmail.com,2,1
595,"Dadap, Tere",td1569@gmail.com,2,1
597,"Cabansag, Joanne",jc2873@gmail.com,3,2
599,"Buhayin, Brenda Julita",bjb8685@gmail.com,4,1
601,"Pamuspusan, Rolando Christine",rcp1185@gmail.com,3,1
603,"Balino, Raquel",rb2305@gmail.com,4,1
608,"Puruganan, Luciano",lp3276@gmail.com,3,1
609,"Nipay, Jeremy",jn1441@gmail.com,2,1
610,"Cajulao, Petra",pc8603@gmail.com,2,1
614,"Bihis, Ofelia",ob7293@gmail.com,2,1
615,"Balani, Nadine Santiago",nsb5721@gmail.com,3,1
616,"Masungsong, Alejandra Nelson",anm4618@gmail.com,2,1
617,"Sahagun, Harold Sydney",hss8017@gmail.com,3,2
619,"Agtarap, Remedios Robin",rra3187@gmail.com,4,3
622,"Caoili, Dorothy",dc7766@gmail.com,4,1
623,"Licaycay, Marcelino",ml9617@gmail.com,3,2
625,"Bulala, Cynthia Ambrosio",cab6709@gmail.com,2,1
626,"Maranan, Emily",em2669@gmail.com,4,1
630,"Magpatoc, Francine Teban",ftm4781@gmail.com,4,3
631,"Macalam, Rodelio Paeng",rpm7996@gmail.com,3,2
632,"Banaria, Jeffrey",jb1764@gmail.com,3,2
633,"Omaga, Janet",jo9346@gmail.com,4,3
636,"Panis, Pilar Noe",pnp3728@gmail.com,2,1
638,"Gacutan, Adelina",ag5552@gmail.com,2,1
639,"Magday, Audrey",am8710@gmail.com,4,3
640,"Pili, Clinton",cp2924@gmail.com,4,2
642,"Macairan, Caleb Arthur",cam1302@gmail.com,4,3
643,"Kasilag, Carolyn",ck4655@gmail.com,4,3
648,"Tubaon, Lilia Jack",ljt3383@gmail.com,4,1
649,"Dayanghirang, Charles Judith",cjd6753@gmail.com,3,2
651,"Pamuspusan, Bienvenido",bp3366@gmail.com,3,1
654,"Magday, Mildred Leticia",mlm5463@gmail.com,3,1
656,"Tabuyo, Darius",dt1903@gmail.com,2,1
658,"Lacanilao, Clarence Emilia",cel1356@gmail.com,3,2
659,"Ablasa, Susan",sa2342@gmail.com,3,1
663,"Caoili, Armando",ac8225@gmail.com,3,1
664,"Bio, Conrad",cb2526@gmail.com,3,2
665,"Salboro, Regina",rs6571@gmail.com,3,2
667,"Raagas, Eugene Rodrigo",err8077@gmail.com,3,2
668,"Banua, Kim",kb7973@gmail.com,3,1
671,"Binongcal, Milagros",mb6175@gmail.com,4,2
672,"Sagaran, Chloe Rolando",crs8838@gmail.com,2,1
673,"Caharian, Marion",mc9181@gmail.com,3,2
676,"Caccam, Austin",ac2597@gmail.com,4,1
678,"Itchon, Renzo",ri8736@gmail.com,3,1
682,"Robang, Reign Paula",rpr6228@gmail.com,3,2
683,"Cagayan, Rosita Fely",rfc2930@gmail.com,3,1
685,"Hinayon, Gilbert",gh9692@gmail.com,4,1
686,"Calinao, Crisanto Clarita",ccc5608@gmail.com,4,3
692,"Salumbides, Danica",ds8518@gmail.com,2,1
694,"Sopsop, Elmer",es2002@gmail.com,4,3
696,"Aliling, Anita",aa9366@gmail.com,2,1
698,"Dangtayan, Larissa Aurelio",lad6023@gmail.com,4,2
706,"Tagatac, Vicky Leonardo",vlt3596@gmail.com,4,1
709,"Soliman, Teobaldo",ts6064@gmail.com,3,2
710,"Lacanglacang, Penelope Leilani",pll6298@gmail.com,4,3
712,"Camagun, Justin",jc5861@gmail.com,2,1
713,"Casiano, Sheila",sc3024@gmail.com,4,3
714,"Balangue, Pacita Menardo",pmb6024@gmail.com,4,3
716,"Capulong, Jeffrey Marian",jmc6750@gmail.com,4,1
717,"Babaylan, Reuben Luis",rlb2261@gmail.com,3,1
720,"Datingginoo, Eunice Emeterio",eed6004@gmail.com,3,2
723,"Bancain, Thomas Emong",teb4308@gmail.com,4,2
726,"Licud, Alejandra",al4708@gmail.com,4,1
731,"Padagas, Panchito Ambrose",pap7614@gmail.com,4,3
733,"Alupay, Osmundo Simon",osa6282@gmail.com,2,1
735,"Longid, Marina Ernesto",mel1549@gmail.com,3,1
736,"Layno, Jonathan",jl6391@gmail.com,4,3
739,"Agbuya, May Xander",mxa5143@gmail.com,4,1
743,"Barangan, Tonying Gideon",tgb8394@gmail.com,4,3
744,"Palisoc, Billy Cecilia",bcp4214@gmail.com,3,1
745,"Sagiguinto, Peter",ps2433@gmail.com,3,1
746,"Nunag, Jared Ezequiel",jen8587@gmail.com,4,1
748,"Galima, Fortunato Princess",fpg9010@gmail.com,3,1
751,"Madlangbayan, Ernie Therese",etm2939@gmail.com,4,2
752,"Tiglao, Wendell Jenny",wjt7483@gmail.com,4,2
753,"Mabini, Daryl",dm5457@gmail.com,2,1
754,"Raagas, Teban",tr2205@gmail.com,2,1
755,"Racelis, Sergio Cresencia",scr6797@gmail.com,2,1
757,"Dolera, Camilo",cd6183@gmail.com,3,1
758,"Laguatan, Julio",jl1327@gmail.com,2,1
759,"Maliwanag, Nigel",nm2245@gmail.com,3,2
763,"Araw, Matthew",ma3712@gmail.com,3,2
766,"Lucena, Tiyago",tl3561@gmail.com,3,1
767,"Putong, Mary Jane",mjp1184@gmail.com,4,3
770,"Capuno, Leah Daniel",ldc8966@gmail.com,4,1
771,"Afuyog, Marcela",ma5719@gmail.com,4,2
777,"Bactad, Jonathan",jb7220@gmail.com,4,2
782,"Apanapao, Paz",pa1425@gmail.com,3,2
783,"Dimarumba, Hermenegildo",hd6845@gmail.com,4,2
785,"Yumul, Tere Sarah",tsy8566@gmail.com,3,1
786,"Cabututan, Lilliane Ebenezer",lec1054@gmail.com,2,1
794,"Magbag, Douglas Alexander",dam7780@gmail.com,4,3
798,"Cabangbang, Eunice",ec2727@gmail.com,3,2
800,"Talusan, Leodigario Althea",lat8551@gmail.com,3,1
802,"Simangan, Esther",es5633@gmail.com,4,3
803,"Tuliao, Calixto Gabrielle",cgt3525@gmail.com,2,1
805,"Acda, Nicole Jovito",nja8154@gmail.com,3,1
808,"Manacsa, Renante Kanoy",rkm3035@gmail.com,4,2
810,"Macabuhay, Chelsea",cm3958@gmail.com,3,2
817,"Pasamba, Jericho",jp7911@gmail.com,3,2
819,"Mangalino, Eugenio",em1902@gmail.com,4,2
821,"Patacsil, Jorge",jp1303@gmail.com,2,1
823,"Malinsangan, Jomari Philip",jpm1734@gmail.com,3,1
829,"Baliling, Eleanor",eb5543@gmail.com,2,1
835,"Sunga, Kirby Rafaela",krs2981@gmail.com,3,2
836,"Apdal, Jerry",ja2117@gmail.com,2,1
839,"Subili, Bertrand",bs7317@gmail.com,4,2
840,"Bagang, Artemio",ab4696@gmail.com,4,1
841,"Ablasa, Tessa",ta4051@gmail.com,4,3
842,"Gabat, Morris Frederick",mfg6355@gmail.com,2,1
845,"Saplala, Claudine Susano",css8758@gmail.com,3,2
847,"Katapang, Gabrielle",gk5858@gmail.com,2,1
853,"Kabayao, Francisca",fk6214@gmail.com,3,2
858,"Acupan, Panchito",pa4986@gmail.com,3,1
859,"Lakanilaw, Erasmo",el7297@gmail.com,4,1
862,"Casim, Juana",jc5836@gmail.com,4,1
863,"Manguinao, Dionisio",dm3809@gmail.com,4,1
865,"Pabulayan, Angela",ap6574@gmail.com,3,2
867,"Recato, Michael",mr3311@gmail.com,2,1
870,"Naui, Dylan Henrietta",dhn5296@gmail.com,2,1
871,"Talagtag, Kevin Mari",kmt5083@gmail.com,3,1
873,"Apelin, Morris",ma6897@gmail.com,2,1
874,"Bugnos, Micaela Josefa",mjb4035@gmail.com,4,2
877,"Alonto, Jean Heidi",jha2787@gmail.com,4,2
881,"Palapala, Ulysses",up1829@gmail.com,2,1
882,"Calajati, Calista",cc1605@gmail.com,4,1
886,"Maganto, Catherine Wendy",cwm4250@gmail.com,3,2
887,"Carangal, Bruno Daphne",bdc4512@gmail.com,2,1
890,"Sibayan, Patrick Johanne",pjs1311@gmail.com,2,1
892,"Gamit, Gregorio Dominga",gdg9884@gmail.com,4,2
893,"Manas, Paula Puring",ppm6165@gmail.com,4,2
897,"Galapon, Dwarding",dg5831@gmail.com,4,1
901,"Estigoy, Benedicto",be6303@gmail.com,2,1
904,"Pagulayan, Sonia",sp9152@gmail.com,3,1
910,"Agapito, Deodato",da2809@gmail.com,4,3
911,"Mappala, Angelito",am7187@gmail.com,4,3
916,"Sawi, Victor",vs4124@gmail.com,4,2
924,"Bayquen, Lucia Monique",lmb8555@gmail.com,4,3
925,"Banaticla, Teban",tb2053@gmail.com,3,2
926,"Madali, Arielle Rudolph",arm7502@gmail.com,2,1
927,"Dasalan, Netoy",nd9475@gmail.com,2,1
929,"Orig, Melissa Grace",mgo7833@gmail.com,4,3
930,"Ona, Micaela",mo8691@gmail.com,4,2
931,"Tindongan, Elvira",et8809@gmail.com,3,1
932,"Licuanan, Jillian",jl7757@gmail.com,3,1
935,"Dimawili, Kardo",kd3512@gmail.com,4,3
936,"Poyaoan, Madeleine Vanessa",mvp7212@gmail.com,4,1
937,"Bagasao, Jillian",jb8821@gmail.com,4,2
938,"Sapin, Isidra",is4055@gmail.com,2,1
941,"Dinolang, Jane",jd9286@gmail.com,4,1
945,"Pacada, Manolo Princess",mpp3344@gmail.com,4,3
946,"Balatazo, Victoria",vb8190@gmail.com,2,1
947,"Alumisin, Goryo Norberto",gna7176@gmail.com,4,3
948,"Calag, Miguelito Regina",mrc6445@gmail.com,4,2
949,"Balason, Monique",mb2539@gmail.com,4,3
952,"Manlagnit, Erin",em9628@gmail.com,3,1
958,"Panganiban, Elma Helen",ehp1956@gmail.com,3,2
960,"Saradpon, Sara",ss4237@gmail.com,2,1
963,"Ugalino, Danielle",du3983@gmail.com,4,3
965,"Mania, Leonila Raymond",lrm9825@gmail.com,3,2
967,"Bontuyan, George Teodora",gtb1018@gmail.com,2,1
970,"Maghuyop, Paquito",pm7890@gmail.com,3,2
971,"Caguingin, Umberto Lilian",ulc9386@gmail.com,4,1
972,"Quiray, George Tanya",gtq3186@gmail.com,3,1
973,"Panuncialonan, Julita Leslie",jlp2444@gmail.com,3,2
974,"Sibug, Jovito Felipe",jfs5721@gmail.com,4,3
976,"Ruadap, Lyndon",lr2465@gmail.com,2,1
979,"Casama, Edwin Catalina",ecc6291@gmail.com,4,2
980,"Bawalan, Octavio Florence",ofb7862@gmail.com,2,1
981,"Moguet, Umberto",um3084@gmail.com,3,1
